"Periodo","cvegeo","Entidad_federativa","Población_cuyo_tiempo_de_traslado_a_un_hospital_es_menor_a_dos_horas",
"2022",	00,"Estados Unidos Mexicanos","NA",
"2022",	01,"Aguascalientes","1,455.024",
"2022",	02,"Baja California","3,714.327",
"2022",	03,"Baja California Sur","814.874",
"2022",	04,"Campeche","840.743",
"2022",	05,"Coahuila de Zaragoza","3,225.19",
"2022",	06,"Colima","761.357",
"2022",	07,"Chiapas","4,611.707",
"2022",	08,"Chihuahua","3,592.48",
"2022",	09,"Ciudad de México","8,857.444",
"2022",	10,"Durango","1,658.741",
"2022",	11,"Guanajuato","6,091.828",
"2022",	12,"Guerrero","3,063.509",
"2022",	13,"Hidalgo","2,888.741",
"2022",	14,"Jalisco","8,170.28",
"2022",	15,"México","16,437.484",
"2022",	16,"Michoacán de Ocampo","4,569.241",
"2022",	17,"Morelos","1,953.394",
"2022",	18,"Nayarit","1,171.088",
"2022",	19,"Nuevo León","5,757.067",
"2022",	20,"Oaxaca","3,255.178",
"2022",	21,"Puebla","6,214.691",
"2022",	22,"Querétaro","2,317.323",
"2022",	23,"Quintana Roo","1,829.579",
"2022",	24,"San Luis Potosí","2,633.763",
"2022",	25,"Sinaloa","3,006.904",
"2022",	26,"Sonora","2,922.691",
"2022",	27,"Tabasco","2,259.505",
"2022",	28,"Tamaulipas","3,505.127",
"2022",	29,"Tlaxcala","1,330.312",
"2022",	30,"Veracruz de Ignacio de la Llave","7,525.923",
"2022",	31,"Yucatán","2,167.872",
"2022",	32,"Zacatecas","1,539.682",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","1,411.545",
"2020",	02,"Baja California","3,715.755",
"2020",	03,"Baja California Sur","784.899",
"2020",	04,"Campeche","860.18",
"2020",	05,"Coahuila de Zaragoza","3,108.53",
"2020",	06,"Colima","723.638",
"2020",	07,"Chiapas","4,637.512",
"2020",	08,"Chihuahua","3,567.215",
"2020",	09,"Ciudad de México","8,898.535",
"2020",	10,"Durango","1,731.007",
"2020",	11,"Guanajuato","5,978.673",
"2020",	12,"Guerrero","3,071.448",
"2020",	13,"Hidalgo","2,859.089",
"2020",	14,"Jalisco","8,044.811",
"2020",	15,"México","16,279.43",
"2020",	16,"Michoacán de Ocampo","4,534.653",
"2020",	17,"Morelos","1,945.986",
"2020",	18,"Nayarit","1,182.222",
"2020",	19,"Nuevo León","5,630.253",
"2020",	20,"Oaxaca","3,383.188",
"2020",	21,"Puebla","5,976.655",
"2020",	22,"Querétaro","2,273.126",
"2020",	23,"Quintana Roo","1,788.552",
"2020",	24,"San Luis Potosí","2,543.449",
"2020",	25,"Sinaloa","3,011.466",
"2020",	26,"Sonora","2,840.466",
"2020",	27,"Tabasco","2,252.551",
"2020",	28,"Tamaulipas","3,443.925",
"2020",	29,"Tlaxcala","1,317.317",
"2020",	30,"Veracruz de Ignacio de la Llave","7,392.254",
"2020",	31,"Yucatán","2,170.02",
"2020",	32,"Zacatecas","1,518.612",
"2018",	00,"Estados Unidos Mexicanos","NA",
"2018",	01,"Aguascalientes","1,344.993",
"2018",	02,"Baja California","3,653.493",
"2018",	03,"Baja California Sur","744.084",
"2018",	04,"Campeche","818.219",
"2018",	05,"Coahuila de Zaragoza","2,965.043",
"2018",	06,"Colima","716.462",
"2018",	07,"Chiapas","4,065.496",
"2018",	08,"Chihuahua","3,441.638",
"2018",	09,"Ciudad de México","8,835.515",
"2018",	10,"Durango","1,699.385",
"2018",	11,"Guanajuato","5,877.103",
"2018",	12,"Guerrero","3,006.744",
"2018",	13,"Hidalgo","2,705.756",
"2018",	14,"Jalisco","7,696.172",
"2018",	15,"México","16,046.277",
"2018",	16,"Michoacán de Ocampo","4,457.457",
"2018",	17,"Morelos","1,881.76",
"2018",	18,"Nayarit","1,132.797",
"2018",	19,"Nuevo León","5,264.786",
"2018",	20,"Oaxaca","3,076.231",
"2018",	21,"Puebla","5,847.448",
"2018",	22,"Querétaro","2,177.938",
"2018",	23,"Quintana Roo","1,710.57",
"2018",	24,"San Luis Potosí","2,492.897",
"2018",	25,"Sinaloa","2,951.001",
"2018",	26,"Sonora","2,804.492",
"2018",	27,"Tabasco","2,171.004",
"2018",	28,"Tamaulipas","3,380.015",
"2018",	29,"Tlaxcala","1,267.354",
"2018",	30,"Veracruz de Ignacio de la Llave","7,184.616",
"2018",	31,"Yucatán","2,086.908",
"2018",	32,"Zacatecas","1,510.242",
"2016",	00,"Estados Unidos Mexicanos","NA",
"2016",	01,"Aguascalientes","1,293.793",
"2016",	02,"Baja California","3,519.018",
"2016",	03,"Baja California Sur","701.675",
"2016",	04,"Campeche","816.523",
"2016",	05,"Coahuila de Zaragoza","2,875.235",
"2016",	06,"Colima","691.774",
"2016",	07,"Chiapas","4,351.17",
"2016",	08,"Chihuahua","3,313.444",
"2016",	09,"Ciudad de México","8,861.84",
"2016",	10,"Durango","1,643.479",
"2016",	11,"Guanajuato","5,732.204",
"2016",	12,"Guerrero","3,031.662",
"2016",	13,"Hidalgo","2,769.415",
"2016",	14,"Jalisco","7,714.523",
"2016",	15,"México","15,687.739",
"2016",	16,"Michoacán de Ocampo","4,307.561",
"2016",	17,"Morelos","1,852.135",
"2016",	18,"Nayarit","1,118.935",
"2016",	19,"Nuevo León","5,053.408",
"2016",	20,"Oaxaca","3,099.855",
"2016",	21,"Puebla","5,947.982",
"2016",	22,"Querétaro","2,026.718",
"2016",	23,"Quintana Roo","1,633.508",
"2016",	24,"San Luis Potosí","2,485.906",
"2016",	25,"Sinaloa","2,877.46",
"2016",	26,"Sonora","2,736.263",
"2016",	27,"Tabasco","2,195.389",
"2016",	28,"Tamaulipas","3,356.281",
"2016",	29,"Tlaxcala","1,230.72",
